Date,Real Price of Lumber
8/1/1991,194.1609091
9/1/1991,188.305
10/1/1991,195.2617391
11/1/1991,209.01
12/1/1991,202.8171429
1/1/1992,227.3090909
2/1/1992,236.3926316
3/1/1992,248.2181818
4/1/1992,241.7561905
5/1/1992,230.64
6/1/1992,235.3718182
7/1/1992,216.8954545
8/1/1992,222.387619
9/1/1992,222.5333333
10/1/1992,216.8509091
11/1/1992,237.925
12/1/1992,255.9045455
1/1/1993,285.485
2/1/1993,379.6747368
3/1/1993,421.6347826
4/1/1993,355.2514286
5/1/1993,285.69
6/1/1993,268.3381818
7/1/1993,264.5333333
8/1/1993,282.1327273
9/1/1993,318.36
10/1/1993,328.107619
11/1/1993,398.1238095
12/1/1993,446.7290909
1/1/1994,414.7380952
2/1/1994,426.3031579
3/1/1994,419.5608696
4/1/1994,338.0052632
5/1/1994,373.7
6/1/1994,370.4972727
7/1/1994,356.99
8/1/1994,353.033913
9/1/1994,309.5619048
10/1/1994,310.0847619
11/1/1994,336.552381
12/1/1994,310.52
1/1/1995,318.2571429
2/1/1995,321.0557895
3/1/1995,288.8217391
4/1/1995,265.1894737
5/1/1995,255.8318182
6/1/1995,233.7881818
7/1/1995,273.855
8/1/1995,271.2347826
9/1/1995,289.39
10/1/1995,257.4754545
11/1/1995,272.0190476
12/1/1995,279.173
1/1/1996,290.5409091
2/1/1996,301.022
3/1/1996,302.9952381
4/1/1996,317.1457143
5/1/1996,357.9090909
6/1/1996,339.808
7/1/1996,334.5545455
8/1/1996,383.2036364
9/1/1996,360.29
10/1/1996,385.5469565
11/1/1996,398.39
12/1/1996,400.432381
1/1/1997,419.4227273
2/1/1997,401.8884211
3/1/1997,370.395
4/1/1997,397.5090909
5/1/1997,389.5666667
6/1/1997,371.5666667
7/1/1997,356.2454545
8/1/1997,351.2704762
9/1/1997,318.6761905
10/1/1997,312.2878261
11/1/1997,319.5526316
12/1/1997,307.4754545
1/1/1998,293.415
2/1/1998,310.2336842
3/1/1998,312.6409091
4/1/1998,320.1409524
5/1/1998,298
6/1/1998,285.1990909
7/1/1998,284.1227273
8/1/1998,300.9104762
9/1/1998,267.4857143
10/1/1998,265.0963636
11/1/1998,288.77
12/1/1998,302.3090909
1/1/1999,334.0631579
2/1/1999,331.9052632
3/1/1999,332.7347826
4/1/1999,330.7266667
5/1/1999,343.475
6/1/1999,381.8418182
7/1/1999,388.2571429
8/1/1999,358.1863636
9/1/1999,330.8428571
10/1/1999,304.9552381
11/1/1999,338.2238095
12/1/1999,337.2447619
1/1/2000,341.76
2/1/2000,344.404
3/1/2000,333.9
4/1/2000,311.2494737
5/1/2000,291.7772727
6/1/2000,288.3527273
7/1/2000,258.655
8/1/2000,234.653913
9/1/2000,235.365
10/1/2000,222.2845455
11/1/2000,234.6047619
12/1/2000,216.591
1/1/2001,213.3
2/1/2001,207.7263158
3/1/2001,230.4090909
4/1/2001,263.347
5/1/2001,327.3363636
6/1/2001,312.5752381
7/1/2001,297.3857143
8/1/2001,318.1808696
9/1/2001,275.7058824
10/1/2001,230.6130435
11/1/2001,227.0761905
12/1/2001,242.1
1/1/2002,265.1857143
2/1/2002,285.5178947
3/1/2002,309.715
4/1/2002,287.8409091
5/1/2002,290.5363636
6/1/2002,271.837
7/1/2002,265.0318182
8/1/2002,246.1181818
9/1/2002,224.575
10/1/2002,228.9634783
11/1/2002,230.865
12/1/2002,230.707
1/1/2003,244
2/1/2003,265.0084211
3/1/2003,243.1761905
4/1/2003,243.247619
5/1/2003,242.8809524
6/1/2003,282.2704762
7/1/2003,282.4863636
8/1/2003,313.9866667
9/1/2003,319.7857143
10/1/2003,291.0634783
11/1/2003,298.8105263
12/1/2003,295.9318182
1/1/2004,339.17
2/1/2004,369.8010526
3/1/2004,367.1173913
4/1/2004,405.8152381
5/1/2004,409.57
6/1/2004,384.6866667
7/1/2004,397.8190476
8/1/2004,424.7545455
9/1/2004,365.5142857
10/1/2004,310.9409524
11/1/2004,322.9809524
12/1/2004,338.367619
1/1/2005,365.725
2/1/2005,397.5936842
3/1/2005,397.5363636
4/1/2005,370.7514286
5/1/2005,349.8095238
6/1/2005,340.5318182
7/1/2005,324.265
8/1/2005,285.2321739
9/1/2005,301.7190476
10/1/2005,292.5638095
11/1/2005,331.9
12/1/2005,339.13
1/1/2006,372.275
2/1/2006,343.6073684
3/1/2006,331.6434783
4/1/2006,333.77
5/1/2006,325.0954545
6/1/2006,297.8990909
7/1/2006,285.415
8/1/2006,275.1869565
9/1/2006,263.635
10/1/2006,248.9981818
11/1/2006,263.3666667
12/1/2006,265.096
1/1/2007,271.475
2/1/2007,264.0515789
3/1/2007,248.3363636
4/1/2007,246.663
5/1/2007,257.1090909
6/1/2007,285.3380952
7/1/2007,294.8857143
8/1/2007,272.1278261
9/1/2007,244.5368421
10/1/2007,236.8904348
11/1/2007,256.647619
12/1/2007,245.555
1/1/2008,231.8095238
2/1/2008,224.312
3/1/2008,227.3368421
4/1/2008,224.7945455
5/1/2008,247.995
6/1/2008,245.786
7/1/2008,251.9666667
8/1/2008,259.3457143
9/1/2008,221.8047619
10/1/2008,190.5790909
11/1/2008,201.3947368
12/1/2008,177.66
1/1/2009,164.62
2/1/2009,155.85
3/1/2009,164.9318182
4/1/2009,177.48
5/1/2009,180.11
6/1/2009,205.7981818
7/1/2009,196.1181818
8/1/2009,188.3152381
9/1/2009,175.8714286
10/1/2009,176.4780952
11/1/2009,222.245
12/1/2009,217.3754545
1/1/2010,243.0333333
2/1/2010,267.4655556
3/1/2010,279.1347826
4/1/2010,305.1561905
5/1/2010,257.355
6/1/2010,203.6490909
7/1/2010,208.2666667
8/1/2010,207.8136364
9/1/2010,223.0772727
10/1/2010,239.887619
11/1/2010,264.9454545
