Date,Nominal Prices
Aug-00,76.9
Sep-00,77.1
Oct-00,77.2
Nov-00,77.3
Dec-00,77.7
1-Jan,78.2
1-Feb,78.4
1-Mar,78.6
1-Apr,79.1
1-May,79.7
1-Jun,80.2
1-Jul,80.8
1-Aug,81.6
1-Sep,81.6
1-Oct,82.1
1-Nov,82.1
1-Dec,81.8
2-Jan,81.2
2-Feb,81.4
2-Mar,81.7
2-Apr,81.8
2-May,82.1
2-Jun,82.2
2-Jul,82.1
2-Aug,81.8
2-Sep,82.3
2-Oct,82.9
2-Nov,82.6
2-Dec,83.2
3-Jan,84.1
3-Feb,84.6
3-Mar,85.1
3-Apr,85.3
3-May,85.3
3-Jun,85.4
3-Jul,85.4
3-Aug,86.1
3-Sep,86.8
3-Oct,87.4
3-Nov,88.1
3-Dec,88.5
4-Jan,89.1
4-Feb,89.4
4-Mar,90.3
4-Apr,91.1
4-May,92.2
4-Jun,92.8
4-Jul,93.4
4-Aug,93.9
4-Sep,94.4
4-Oct,94.9
4-Nov,95.6
4-Dec,96.3
5-Jan,96.5
5-Feb,96.3
5-Mar,96.9
5-Apr,97.2
5-May,98.3
5-Jun,99.3
5-Jul,100.7
5-Aug,100.8
5-Sep,101.3
5-Oct,101.9
5-Nov,102.8
5-Dec,104.1
6-Jan,104.5
6-Feb,104.7
6-Mar,105.7
6-Apr,105.9
6-May,106.1
6-Jun,106.1
6-Jul,105.6
6-Aug,105.9
6-Sep,107
6-Oct,107.4
6-Nov,107.5
6-Dec,107.8
7-Jan,107.8
7-Feb,107.9
7-Mar,108.2
7-Apr,107.9
7-May,106.9
7-Jun,106.5
7-Jul,106.7
7-Aug,107
7-Sep,107.2
7-Oct,107.2
7-Nov,106.7
7-Dec,106.4
8-Jan,105.8
8-Feb,105.5
8-Mar,105.2
8-Apr,104.8
8-May,105.2
8-Jun,104
8-Jul,104.1
8-Aug,103.4
8-Sep,102.6
8-Oct,102.2
8-Nov,102.2
8-Dec,102.6
9-Jan,102.4
9-Feb,101.8
9-Mar,101.8
9-Apr,100.8
9-May,99.3
9-Jun,98.4
9-Jul,98
9-Aug,97.9
9-Sep,98.3
9-Oct,98.6
9-Nov,99
9-Dec,99.5
10-Jan,99.5
10-Feb,98.8
10-Mar,98
10-Apr,97.3
10-May,97.1
10-Jun,97.4
10-Jul,97.8
10-Aug,97.7
10-Sep,97.5
10-Oct,98.1
10-Nov,98.4
10-Dec,98.8
11-Jan,98.7
11-Feb,98.2
11-Mar,98.5
11-Apr,98.6
11-May,98.5
11-Jun,98.4
11-Jul,98.4
11-Aug,99
11-Sep,98.8
11-Oct,99.1
11-Nov,99.2
11-Dec,99.4
12-Jan,98.6
12-Feb,98.1
12-Mar,98.9
12-Apr,99.1
12-May,98.8
12-Jun,98.7
12-Jul,99.4
12-Aug,100.2
12-Sep,100.3
12-Oct,100.4
12-Nov,100.7
12-Dec,101
13-Jan,101.9
13-Feb,102.7
13-Mar,103.4
13-Apr,104
13-May,104.2
13-Jun,104.2
13-Jul,104.5
13-Aug,105
13-Sep,106
13-Oct,107.4
13-Nov,108.2
13-Dec,109.1
14-Jan,110.2
14-Feb,111
14-Mar,111.5
14-Apr,110.7
14-May,110.9
14-Jun,110.4
14-Jul,112.9
14-Aug,114
14-Sep,114.4
14-Oct,112.9
14-Nov,113.7
14-Dec,114.1
15-Jan,114.5
15-Feb,114.8
15-Mar,114.9
15-Apr,114.4
15-May,114.4
15-Jun,114.8
15-Jul,115
15-Aug,115
15-Sep,115.3
15-Oct,115.9
15-Nov,115.6
15-Dec,116.2
16-Jan,116.5
16-Feb,116.4
16-Mar,117.9
16-Apr,118.2
16-May,118.9
16-Jun,119.1
16-Jul,120.1
16-Aug,121.1
16-Sep,122
16-Oct,122.9
16-Nov,123.3
16-Dec,123.5
17-Jan,123.8
17-Feb,123.6
17-Mar,124.4
17-Apr,124.8
17-May,124.9
17-Jun,125.7
17-Jul,126.1
17-Aug,125.7
17-Sep,125.9
17-Oct,126
17-Nov,126.2
17-Dec,126.7
18-Jan,127.7
18-Feb,128.9
18-Mar,128.8
18-Apr,129.6
18-May,130.8
18-Jun,131.1
18-Jul,131
18-Aug,131.1
18-Sep,132.1
18-Oct,132.6
18-Nov,132.6
18-Dec,132.4
19-Jan,133.4
19-Feb,134.3
19-Mar,134.6
19-Apr,133.9
19-May,133.9
19-Jun,134.3
19-Jul,134.8
19-Aug,135.2
19-Sep,135.5
19-Oct,135.9
19-Nov,136
19-Dec,136.9
20-Jan,137.1
20-Feb,137.6
20-Mar,138.3
20-Apr,138.2
20-May,138.8
20-Jun,138.6
20-Jul,140.7
20-Aug,141.6
20-Sep,142.5
20-Oct,142.7
20-Nov,143.3
20-Dec,144.4
21-Jan,146.2
21-Feb,147.8
21-Mar,149.8
21-Apr,151.4
21-May,153.8
21-Jun,155.2
21-Jul,157.9
